,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.367128810557873,,Intercept,312.84845178203733,313.0,0.15154821796267015,313.0
1,1,grade:A,1.1388348377876079,2.7696049884914337e-36,grade,89.08850351627643,89.0,-0.08850351627643249,89.0
2,2,grade:B,0.889251158944381,5.457938963409435e-48,grade,69.56413025998795,70.0,0.4358697400120519,70.0
3,3,grade:C,0.6915676463824527,1.9252390878020947e-34,grade,54.09979099004041,54.0,-0.09979099004041103,54.0
4,4,grade:D,0.5002319976210888,8.490833547443054e-21,grade,39.132030914680975,39.0,-0.13203091468097483,39.0
5,5,grade:E,0.32284768387114915,8.446250302104143e-12,grade,25.25565258931838,25.0,-0.2556525893183803,25.0
6,6,grade:F,0.13441946349543007,0.006178433214795936,grade,10.515334137066493,11.0,0.48466586293350744,11.0
7,7,home_ownership:OWN,0.09397719005102054,3.0718345378321914e-06,home_ownership,7.351625493451536,7.0,-0.35162549345153593,7.0
8,8,home_ownership:MORTGAGE,0.10574481383728898,6.149449322311457e-17,home_ownership,8.272180395949798,8.0,-0.2721803959497979,8.0
9,9,addr_state:NM_VA,0.03260574840177968,0.3086864171164857,addr_state,2.5506748079342807,3.0,0.4493251920657193,3.0
10,10,addr_state:NY,0.052346359280803466,0.03070658783931326,addr_state,4.09493866723619,4.0,-0.09493866723618982,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.055753123219152226,0.016050672094047543,addr_state,4.361442194376542,4.0,-0.3614421943765418,4.0
12,12,addr_state:CA,0.05968280234055295,0.004884588549565951,addr_state,4.668852207319996,5.0,0.33114779268000394,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07382717485410989,0.0030480670351688997,addr_state,5.775334849576986,6.0,0.22466515042301438,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.1314949218122946,5.328830126144361e-09,addr_state,10.286553778952701,10.0,-0.28655377895270107,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.09614960443888577,0.0012718845417013852,addr_state,7.521568614622752,8.0,0.47843138537724794,8.0
16,16,addr_state:GA_WA_OR,0.18227835617121715,8.341148964993319e-12,addr_state,14.259228323439396,14.0,-0.2592283234393964,14.0
17,17,addr_state:WI_MT,0.2285670145050598,1.4490024954852125e-06,addr_state,17.88028658747131,18.0,0.11971341252868939,18.0
18,18,addr_state:TX,0.21899526637336614,3.4984976607128956e-17,addr_state,17.13151012859173,17.0,-0.1315101285917315,17.0
19,19,addr_state:IL_CT,0.258432465925793,8.9673037800795e-19,addr_state,20.216594088460656,20.0,-0.2165940884606563,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.31562764568185586,1.3295922910679151e-24,addr_state,24.690845142029467,25.0,0.3091548579705332,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5155207217812524,2.916464007780888e-22,addr_state,40.32803362807543,40.0,-0.32803362807543124,40.0
22,22,verification_status:Not Verified,0.08462386901597428,6.933113081877814e-09,verification_status,6.619936098053021,7.0,0.38006390194697914,7.0
23,23,verification_status:Source Verified,-0.00886899897813975,0.5087672910849463,verification_status,-0.6938019635795628,-1.0,-0.3061980364204372,-1.0
24,24,purpose:credit_card,0.30425408689991323,5.143230639422078e-27,purpose,23.80111706389471,24.0,0.19888293610528862,24.0
25,25,purpose:debt_consolidation,0.1996290023524966,1.6019546679065733e-14,purpose,15.61653058715787,16.0,0.3834694128421301,16.0
26,26,purpose:oth__med__vacation,0.21414915124570602,5.740974018397607e-12,purpose,16.75240937555405,17.0,0.2475906244459516,17.0
